[?1034h== Refs (2869 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
| /Event/NextNext/pSim/Rich/Hits                         |      268320      |     95259      |  2.82 |
| /Event/NextNext/pSim/Rich/OpticalPhotons               |      800366      |     190465     |  4.20 |
| /Event/NextNext/pSim/Rich/Segments                     |      104530      |      7513      | 13.91 |
| /Event/NextNext/pSim/Rich/Tracks                       |      12060       |      2099      |  5.75 |
| /Event/NextNext/pSim/UT                                |       261        |      261       |  1.00 |
| /Event/NextNext/pSim/UT/Hits                           |      62918       |     26409      |  2.38 |
| /Event/NextNext/pSim/VP                                |       261        |      261       |  1.00 |
| /Event/NextNext/pSim/VP/Hits                           |      134294      |     44611      |  3.01 |
| /Event/PersistReco                                     |       251        |      251       |  1.00 |
| /Event/PersistReco/RawEvent                            |       4416       |      4416      |  1.00 |
| /Event/Prev                                            |       285        |      285       |  1.00 |
| /Event/Prev/Gen                                        |       269        |      269       |  1.00 |
| /Event/Prev/Gen/Collisions                             |       1511       |      815       |  1.85 |
| /Event/Prev/Gen/Header                                 |       653        |      451       |  1.45 |
| /Event/Prev/MC                                         |       243        |      243       |  1.00 |
| /Event/Prev/MC/Header                                  |       776        |      555       |  1.40 |
| /Event/Prev/pSim                                       |       439        |      332       |  1.32 |
| /Event/Prev/pSim/Ecal                                  |       257        |      257       |  1.00 |
| /Event/Prev/pSim/Ecal/Hits                             |      196437      |     46959      |  4.18 |
| /Event/Prev/pSim/FT                                    |       253        |      253       |  1.00 |
| /Event/Prev/pSim/FT/Hits                               |      180462      |     83279      |  2.17 |
| /Event/Prev/pSim/Hcal                                  |       257        |      257       |  1.00 |
| /Event/Prev/pSim/Hcal/Hits                             |      30262       |      7681      |  3.94 |
| /Event/Prev/pSim/MCParticles                           |      368092      |     80489      |  4.57 |
| /Event/Prev/pSim/MCVertices                            |      351896      |     116203     |  3.03 |
| /Event/Prev/pSim/Muon                                  |       257        |      257       |  1.00 |
| /Event/Prev/pSim/Muon/Hits                             |       8794       |      4707      |  1.87 |
| /Event/Prev/pSim/Rich                                  |       329        |      328       |  1.00 |
| /Event/Prev/pSim/Rich/Hits                             |      228046      |     80013      |  2.85 |
| /Event/Prev/pSim/Rich/OpticalPhotons                   |      680532      |     161983     |  4.20 |
| /Event/Prev/pSim/Rich/Segments                         |      85566       |      6125      | 13.97 |
| /Event/Prev/pSim/Rich/Tracks                           |       9372       |      1863      |  5.03 |
| /Event/Prev/pSim/UT                                    |       253        |      253       |  1.00 |
| /Event/Prev/pSim/UT/Hits                               |      59214       |     24683      |  2.40 |
| /Event/Prev/pSim/VP                                    |       253        |      253       |  1.00 |
| /Event/Prev/pSim/VP/Hits                               |      129150      |     42797      |  3.02 |
| /Event/PrevPrev                                        |       293        |      293       |  1.00 |
| /Event/PrevPrev/Gen                                    |       277        |      277       |  1.00 |
| /Event/PrevPrev/Gen/Collisions                         |       1046       |      657       |  1.59 |
| /Event/PrevPrev/Gen/Header                             |       570        |      563       |  1.01 |
| /Event/PrevPrev/MC                                     |       251        |      251       |  1.00 |
| /Event/PrevPrev/MC/Header                              |       693        |      675       |  1.03 |
| /Event/PrevPrev/pSim                                   |       447        |      332       |  1.35 |
| /Event/PrevPrev/pSim/Ecal                              |       265        |      265       |  1.00 |
| /Event/PrevPrev/pSim/Ecal/Hits                         |      66114       |     15967      |  4.14 |
| /Event/PrevPrev/pSim/FT                                |       261        |      261       |  1.00 |
| /Event/PrevPrev/pSim/FT/Hits                           |      68846       |     32917      |  2.09 |
| /Event/PrevPrev/pSim/Hcal                              |       265        |      265       |  1.00 |
| /Event/PrevPrev/pSim/Hcal/Hits                         |       9895       |      2831      |  3.50 |
| /Event/PrevPrev/pSim/MCParticles                       |      152348      |     34495      |  4.42 |
| /Event/PrevPrev/pSim/MCVertices                        |      143284      |     46759      |  3.06 |
| /Event/PrevPrev/pSim/Muon                              |       265        |      265       |  1.00 |
| /Event/PrevPrev/pSim/Muon/Hits                         |       3906       |      2341      |  1.67 |
| /Event/PrevPrev/pSim/Rich                              |       337        |      336       |  1.00 |
| /Event/PrevPrev/pSim/Rich/Hits                         |      83820       |     30157      |  2.78 |
